model_id,drift_confidence,warning_confidence,lambda_option,two_side_option,ma_window,min_gap_samples,n_records,duration_samples,n_ground_truth,n_detections,f1_classic,f1_weighted,f3_classic,f3_weighted,recall_4s,recall_10s,precision_4s,precision_10s,edd_median_s,edd_p95_s,fp_per_min,nab_score_standard,nab_score_low_fp,nab_score_low_fn,tp,fp,fn,tp_weight_sum
model_1,0.0001,0.001,0.01,False,1,500,34,127232.0,2.8529411764705883,34.94117647058823,0.004084510326688044,0.004084510326688044,0.0112346049370412,0.0112346049370412,0.07941176470588236,0.07941176470588236,0.0021723848376727648,0.002443263169961659,1.2984000000000122,1.2984000000000122,4.039633018700437,-5.2325869966768614,-7.8455576929455715,-6.661395766189564,0.14705882352941177,34.26470588235294,2.7058823529411766,0.14705882352941177
model_2,0.0001,0.001,0.01,False,1,1000,34,127232.0,2.8529411764705883,18.735294117647058,0.006531755912997704,0.006531755912997704,0.016643315594999195,0.016643315594999195,0.07941176470588236,0.07941176470588236,0.003980150410711088,0.004272433463527589,1.3560000000000065,1.3560000000000065,2.1637175997159424,-3.996714143937003,-5.374397076280534,-6.043166795412297,0.14705882352941177,18.352941176470587,2.7058823529411766,0.14705882352941177
model_3,0.0001,0.001,0.01,False,1,2000,34,127232.0,2.8529411764705883,9.941176470588236,0.010129738001547095,0.00762967028224526,0.02444622350218859,0.01778717059789943,0.014705882352941176,0.07941176470588236,0.0005656108597285059,0.007381425661628853,4.857600000000007,4.857600000000007,1.15120872292579,-3.359524980908829,-4.077720069041138,-5.735721554489734,0.14705882352941177,9.764705882352942,2.7058823529411766,0.10854901960784305
model_4,0.0001,0.001,0.01,False,1,3000,34,127232.0,2.8529411764705883,6.735294117647059,0.01155615755073959,0.003363181707186291,0.024458073827821725,0.011879896444241362,0.029411764705882353,0.06470588235294118,0.0009487666034155587,0.009983753147052618,6.596999999999994,6.596999999999994,0.7801866345129601,-3.1814880353535,-3.6570733592825238,-5.708401255741929,0.11764705882352941,6.617647058823529,2.735294117647059,0.05321568627450991
model_5,0.0001,0.001,0.01,False,1,5000,34,127232.0,2.8529411764705883,4.205882352941177,0.005498721227621482,0.004343642444258063,0.01804567981038569,0.014605139706645542,0.029411764705882353,0.04411764705882353,0.0015479876160990704,0.002948547840188706,3.6119999999999948,3.6119999999999948,0.48891695762812165,-3.042556969052966,-3.340203773010426,-5.68785121413306,0.058823529411764705,4.147058823529412,2.7941176470588234,0.04521568627450975
model_6,0.0001,0.001,0.01,False,10,500,34,127232.0,2.8529411764705883,32.3235294117647,0.0020184341708475734,0.0020184341708475734,0.008729062915066397,0.008729062915066397,0.07058823529411765,0.07058823529411765,0.001003920629835506,0.0010303968653544882,1.2459999999999987,1.386400000000001,3.734493357202036,-4.859890702063562,-7.159193618691702,-6.416121596690669,0.14705882352941177,31.676470588235293,2.7058823529411766,0.14705882352941177
model_7,0.0001,0.001,0.01,False,10,1000,34,127232.0,2.8529411764705883,17.38235294117647,0.003776230872282115,0.003776230872282115,0.014718992737568585,0.014718992737568585,0.07058823529411765,0.07058823529411765,0.0018964847799846616,0.0019642903274616763,0.8720000000000034,0.9242000000000065,2.0007452805065684,-3.7691450768487,-4.97833269548483,-5.870433620471812,0.14705882352941177,16.970588235294116,2.7058823529411766,0.14705882352941177
model_8,0.0001,0.001,0.01,False,10,2000,34,127232.0,2.8529411764705883,9.205882352941176,0.006822589175530348,0.004630845182934721,0.023069966700770588,0.015278327283904684,0.020588235294117647,0.07058823529411765,0.0013308490817141323,0.003661862935219332,4.855999999999984,5.336599999999979,1.0645213190910165,-3.2230857117962977,-3.853879343981679,-5.613571248644782,0.14705882352941177,9.029411764705882,2.7058823529411766,0.10221568627451011
model_9,0.0001,0.001,0.01,False,10,3000,34,127232.0,2.8529411764705883,6.294117647058823,0.007717276099629039,0.007004164837943868,0.022910500678258724,0.020409871120335783,0.041176470588235294,0.055882352941176466,0.0034574216159893884,0.004297757750443168,3.0526666666666578,3.1276666666666615,0.728174192212096,-3.0485485644585593,-3.4691277772035076,-5.573553075733144,0.11764705882352941,6.176470588235294,2.735294117647059,0.10425490196078446
model_10,0.0001,0.001,0.01,False,10,5000,34,127232.0,2.8529411764705883,3.8823529411764706,0.00672268907563025,0.004739448288930009,0.017609324556622362,0.014163610060847015,0.029411764705882353,0.03529411764705882,0.002100840336134453,0.0039390756302521,4.401999999999987,4.401999999999987,0.45077449994082136,-3.0149676810835047,-3.2770261950816466,-5.678056071143257,0.058823529411764705,3.823529411764706,2.7941176470588234,0.03770588235294121
model_11,0.0001,0.001,0.01,False,50,500,34,127232.0,2.8529411764705883,19.029411764705884,0.0007113057989153088,0.0007113057989153088,0.0032350165827123474,0.0032350165827123474,0.029411764705882353,0.029411764705882353,0.00035345229115400296,0.0003601396957300441,1.8340000000000032,1.8340000000000032,2.2157300420168067,-4.00903121634718,-5.281588749184224,-6.166870096987482,0.058823529411764705,18.794117647058822,2.7941176470588234,0.058823529411764705
model_12,0.0001,0.001,0.01,False,50,1000,34,127232.0,2.8529411764705883,10.558823529411764,0.001246803069053706,0.001246803069053706,0.005308898368507706,0.005308898368507706,0.029411764705882353,0.029411764705882353,0.0006302987550783117,0.000637355010077547,2.8079999999999927,2.8079999999999927,1.2309611344537814,-3.4426148578055744,-4.147544857091159,-5.884267505221606,0.058823529411764705,10.441176470588236,2.7941176470588234,0.058823529411764705
model_13,0.0001,0.001,0.01,False,50,2000,34,127232.0,2.8529411764705883,5.647058823529412,0.0023172905525846678,0.0018468947190042443,0.0087719298245614,0.006911663441794959,0.014705882352941176,0.029411764705882353,0.0006839945280437735,0.0012073795035255472,3.6140000000000043,3.6140000000000043,0.6553567729908865,-3.104529061506301,-3.463637262301857,-5.7190926081673465,0.058823529411764705,5.5588235294117645,2.7941176470588234,0.044588235294117665
model_14,0.0001,0.001,0.01,False,50,3000,34,127232.0,2.8529411764705883,3.8823529411764706,0.0033322534363863527,0.0016138275156747793,0.011417780998177545,0.005538936073542035,0.0,0.029411764705882353,0.0,0.0017683465959328,7.075999999999993,7.075999999999993,0.45077449994082136,-2.99985390036966,-3.242500765408512,-5.672648114909058,0.058823529411764705,3.823529411764706,2.7941176470588234,0.028666666666666733
model_15,0.0001,0.001,0.01,False,50,5000,34,127232.0,2.8529411764705883,2.5,0.005203619909502259,0.0030344271518908707,0.015172735760971053,0.009110832441677612,0.014705882352941176,0.029411764705882353,0.0012254901960784294,0.002859477124183003,5.52800000000002,5.52800000000002,0.2878021807314475,-2.906997933954813,-3.0590567574842247,-5.625086169248931,0.058823529411764705,2.4411764705882355,2.7941176470588234,0.036843137254901785
model_16,0.0001,0.001,0.01,False,100,500,34,127232.0,2.8529411764705883,25.147058823529413,0.0007306713883877,0.0007306713883877,0.003319800663589203,0.003319800663589203,0.029411764705882353,0.029411764705882353,0.00036394638079253235,0.0003699882109346412,0.9760000000000275,0.9760000000000275,2.9335017457687296,-4.687391246459088,-6.638951829433836,-6.505728602030537,0.058823529411764705,24.88235294117647,2.7941176470588234,0.058823529411764705
model_17,0.0001,0.001,0.01,False,100,1000,34,127232.0,2.8529411764705883,13.735294117647058,0.0013264565085293353,0.0013264565085293353,0.005612120051493194,0.005612120051493194,0.029411764705882353,0.029411764705882353,0.0006708611279563353,0.0006786733680814059,3.102000000000004,3.102000000000004,1.6054507190200022,-3.792641583593498,-4.847002158780656,-6.059578943058743,0.058823529411764705,13.617647058823529,2.7941176470588234,0.058823529411764705
model_18,0.0001,0.001,0.01,False,100,2000,34,127232.0,2.8529411764705883,7.294117647058823,0.0024384112619406707,0.0014587515978829971,0.00914686028702706,0.005459887680583976,0.0,0.029411764705882353,0.0,0.0012722298221614205,6.442000000000007,6.442000000000007,0.8530040537341697,-3.292002605440886,-3.832287014858655,-5.815978047790825,0.058823529411764705,7.235294117647059,2.7941176470588234,0.0348823529411764
model_19,0.0001,0.001,0.01,False,100,3000,34,127232.0,2.8529411764705883,5.029411764705882,0.0018975332068311174,0.0007638078919934324,0.006257822277847309,0.002501977914973318,0.0,0.014705882352941176,0.0,0.0010141987829614587,7.632000000000005,7.632000000000005,0.5894743460764588,-3.173270491805228,-3.538851020574811,-5.814009639185143,0.029411764705882353,5.0,2.823529411764706,0.011607843137254876
model_20,0.0001,0.001,0.01,False,100,5000,34,127232.0,2.8529411764705883,3.235294117647059,0.00549872122762148,0.0026249468070085177,0.0157114127702363,0.007455720369952873,0.0,0.029411764705882353,0.0,0.003034547152194209,7.174000000000007,7.174000000000007,0.37448958456622083,-2.9846081968674305,-3.2110787851027247,-5.665490549808607,0.058823529411764705,3.176470588235294,2.7941176470588234,0.027705882352941108
model_21,0.0001,0.001,0.01,True,1,500,34,127232.0,2.8529411764705883,34.94117647058823,0.004084510326688044,0.004084510326688044,0.0112346049370412,0.0112346049370412,0.07941176470588236,0.07941176470588236,0.0021723848376727648,0.002443263169961659,1.2984000000000122,1.2984000000000122,4.039633018700437,-5.2325869966768614,-7.8455576929455715,-6.661395766189564,0.14705882352941177,34.26470588235294,2.7058823529411766,0.14705882352941177
model_22,0.0001,0.001,0.01,True,1,1000,34,127232.0,2.8529411764705883,18.735294117647058,0.006531755912997704,0.006531755912997704,0.016643315594999195,0.016643315594999195,0.07941176470588236,0.07941176470588236,0.003980150410711088,0.004272433463527589,1.3560000000000065,1.3560000000000065,2.1637175997159424,-3.996714143937003,-5.374397076280534,-6.043166795412297,0.14705882352941177,18.352941176470587,2.7058823529411766,0.14705882352941177
model_23,0.0001,0.001,0.01,True,1,2000,34,127232.0,2.8529411764705883,9.941176470588236,0.010129738001547095,0.00762967028224526,0.02444622350218859,0.01778717059789943,0.014705882352941176,0.07941176470588236,0.0005656108597285059,0.007381425661628853,4.857600000000007,4.857600000000007,1.15120872292579,-3.359524980908829,-4.077720069041138,-5.735721554489734,0.14705882352941177,9.764705882352942,2.7058823529411766,0.10854901960784305
